title,url,category
"
                                Iconz Wired Mouse USB - IMN-M01K - Black                             ",https://2b.com.eg/en/iconz-wired-mouse-usb-imn-m01k-black.html,Accessories
"
                                2B (MO16R) Optical wired mouse, Piano finishing - Red * Black                            ",https://2b.com.eg/en/2b-mo16r-optical-wired-mouse-piano-finishing-red-black.html,Accessories
"
                                2B (MO16L) Optical wired mouse Piano finishing - Blue * Black                            ",https://2b.com.eg/en/2b-optical-wired-mouse-piano-finishing-3-colors.html,Accessories
"
                                HP Wireless mouse 200 - Model X6W31AA - Black                            ",https://2b.com.eg/en/hp-wireless-mouse-200-model-x6w31aa-black.html,Accessories
"
                                HP Wireless Mouse X200 - Black                            ",https://2b.com.eg/en/hp-wireless-mouse-x200-black.html,Accessories
"
                                2B (MO333) 2.4G Wireless Optical Mouse with Extra Removable Cover                            ",https://2b.com.eg/en/2b-mo333-2-4g-wireless-optical-mouse-with-extra-removable-cover.html,Accessories
"
                                Microsoft Mouse Wireless Mobile 1850 - U7Z-00024 - Blue Black                            ",https://2b.com.eg/en/microsoft-wireless-mobile-mouse-1850-u7z-00024.html,Accessories
"
                                Microsoft Mouse Wireless Mobile 1850 - U7Z-00004 - Black                            ",https://2b.com.eg/en/microsoft-wireless-mobile-mouse-1850-u7z-00004.html,Accessories
"
                                2B (MO33N) 2.4G Wireless Mouse - Green With Black Cover                            ",https://2b.com.eg/en/2b-mo33n-2-4g-wireless-mouse-green-with-black-cover.html,Accessories
"
                                Lenovo 400 Wireless Mouse (WW) GY50R91293 - Black                            ",https://2b.com.eg/en/lenovo-400-wireless-mouse-ww-gy50r91293-black.html,Accessories
"
                                Microsoft Mouse Wireless Mobile 1850 - U7Z-00034 - Red                            ",https://2b.com.eg/en/microsoft-wireless-mobile-mouse-1850-u7z-00034.html,Accessories
"
                                Microsoft Mouse Wireless Mobile 1850 - U7Z-00044 - Purple                            ",https://2b.com.eg/en/microsoft-wireless-mobile-mouse-1850-u7z-00044.html,Accessories
"
                                2B (MO33R) 2.4G Wireless Mouse - Red With White Cover                            ",https://2b.com.eg/en/2b-mo33r-2-4g-wireless-mouse-red-with-white-cover.html,Accessories
"
                                2B (MO37L) 2.4G Wireless Silicon Mouse - Blue                             ",https://2b.com.eg/en/2b-mo37l-2-4g-wireless-silicon-mouse-blue.html,Accessories
"
                                2B (MO307) 2.4G Wireless Mouse With Movable Cover - White*Silver                            ",https://2b.com.eg/en/2b-mo307-2-4g-wireless-mouse-with-movable-cover-white-silver.html,Accessories
"
                                2B (MO305) Wireless 2.4G Rechargeable Mouse - Black*Silver                            ",https://2b.com.eg/en/2b-mo305-2-4g-wireless-rechargeable-mouse-black-silver.html,Accessories
"
                                Microsoft Wireless Mobile Mouse 1850 - U7Z-00024 - Light Orchid                            ",https://2b.com.eg/en/microsoft-wireless-mobile-mouse-1850-light-orchid-u7z-00024.html,Accessories
"
                                 HP Mouse Z3700 Dragonfly  Wireless - V0L81AA - Blue                            ",https://2b.com.eg/en/hp-wireless-mouse-z3700-dragonfly-blue.html,Accessories
"
                                2B (MO34W) 2.4GHz Wireless Mouse - White*Gold                            ",https://2b.com.eg/en/2b-mo34w-2-4ghz-wireless-mouse-white-gold.html,Accessories
"
                                HP Wireless Mouse 220 - Black                            ",https://2b.com.eg/en/hp-wireless-mouse-220-3fv66aa-black.html,Accessories
"
                                Microsoft Wireless Mobile Mouse 3500 - GMF-00292 - Black                             ",https://2b.com.eg/en/wireless-mobile-mouse-3500-gmf-00292-black-l-avvento-female-bag.html,Accessories
"
                                Logitech Wireless Mouse M171 - Black                            ",https://2b.com.eg/en/logitech-wireless-mouse-m171-black.html,Accessories
"
                                2B (MO34B) 2.4GHz Wireless Mouse - Black                            ",https://2b.com.eg/en/2b-2-4g-wireless-mouse-3-colors-white-gold-black-black-black-silver.html,Accessories
"
                                2B (MO37A) 2.4G Wireless Silicon Mouse - Gray                            ",https://2b.com.eg/en/2b-mo37a-2-4g-wireless-silicon-mouse-gray.html,Accessories
"
                                2B (MO313) Bluetooth Mouse 3.0 With Rechargeable Battery Inside - Black                             ",https://2b.com.eg/en/2b-mo313-bluetooth-mouse-3-0-with-rechargeable-battery-inside-black.html,Accessories
"
                                Manhattan Success Wireless Optical Mouse 179409 - Black                            ",https://2b.com.eg/en/manhattan-success-wireless-optical-mouse-179409-black.html,Accessories
"
                                HP Wireless Mouse 220 - 7KX11AA - Blue                            ",https://2b.com.eg/en/hp-wireless-mouse-220-7kx11aa-blue.html,Accessories
"
                                 HP Mouse Z3700 Wireless - 4VY82AA - Pink                            ",https://2b.com.eg/en/hp-mouse-z3700-wireless-4vy82aa-pink.html,Accessories
"
                                2B (MO33P) 2.4G Wireless Mouse - Pink With White Cover                            ",https://2b.com.eg/en/2b-mo33p-2-4g-wireless-mouse-pink-with-white-cover.html,Accessories
"
                                HP Wireless Mouse 220 - 7KX10AA - Sunset Red                            ",https://2b.com.eg/en/hp-wireless-mouse-220-7kx10aa-sunset-red.html,Accessories
"
                                Lenovo Wireless Mouse 530 - PN-GY50Z18984 - Platinum Grey                            ",https://2b.com.eg/en/lenovo-530-wireless-mouse-l300-gray.html,Accessories
"
                                HP Wireless Mouse 220 - Snow White                            ",https://2b.com.eg/en/hp-wireless-mouse-220-snow-white.html,Accessories
"
                                KIOXIA TransMemory U202W 16GB  LU202W016GG4                            ",https://2b.com.eg/en/kioxia-transmemory-u202w-16gb-lu202w016gg4.html,Computers
"
                                A Data UV250 USB Flash Drive 32 GB - Silver                             ",https://2b.com.eg/en/a-data-uv250-usb-flash-drive-32-gb-silver.html,Computers
"
                                A Data C008 Capless Sliding USB Flash Drive - 64GB                            ",https://2b.com.eg/en/adata-c008-capless-sliding-usb-flash-drive.html,Computers
"
                                Hikvision USB Flash Drive M200 STD - 16GB                            ",https://2b.com.eg/en/hikvision-usb-flash-drive-m200-std-16gb.html,Computers
"
                                Canon Pixma G2411‏ Multi-function ink tank Printer                            ",https://2b.com.eg/en/canon-multi-function-ink-tank-printer-pixma-g2411.html,Computers
"
                                Western Digital My Passport - 2TB - Black                            ",https://2b.com.eg/en/western-digital-my-passport-2tb-ultra.html,Computers
"
                                TP-Link Wi-Fi Range Extender 300Mbps (TL-WA855RE)                            ",https://2b.com.eg/en/tp-link-tl-wa855re-300mbps-wi-fi-range-extender-with-external-antenna-auto-extender.html,Computers
"
                                Canon PIXMA MG2540S All-in-one Printer                            ",https://2b.com.eg/en/canon-pixma-mg2540-all-in-one-printer.html,Computers
"
                                Kingston Micro SD Card 64GB Class 10                            ",https://2b.com.eg/en/kingston-micro-sd-64g-class-10.html,Computers
"
                                Western Digital My Passport - 1TB - Black                            ",https://2b.com.eg/en/western-digital-my-passport-1tb-ultra-black.html,Computers
"
                                TP-Link 300Mbps Universal WiFi Range Extender (TL-WA850RE)                             ",https://2b.com.eg/en/tp-link-tl-wa850re-range-extender.html,Computers
"
                                HP Laser Printer MFP 135A 4ZB82A                            ",https://2b.com.eg/en/hp-laser-printer-mfp-135a-4zb82a.html,Computers
"
                                Kingston 32 GB Class 10 Micro SDHC Memory Card                            ",https://2b.com.eg/en/kingston-32-gb-class-10-micro-sdhc-memory-card.html,Computers
"
                                Kingston Digital 16 GB microSDHC Class 10 UHS-1 Memory Card                             ",https://2b.com.eg/en/kingston-digital-16-gb-microsdhc-class-10-uhs-1-memory-card.html,Computers
"
                                Acer Swift 5 (Intel® Core™ i5-1035G1 - 8GB RAM - 512GB SSD - NVIDIA GeForce MX250 2GB - 14"" Touch Screen - Win 10) Blue                            ",https://2b.com.eg/en/acer-swift-5-intelr-coretm-i5-1035g1-8gb-ram-512gb-ssd-nvidia-geforce-mx250-2gb-14-touch-screen-win-10-blue.html,Computers
"
                                Western Digital Elements Portable - 1TB - Black                            ",https://2b.com.eg/en/western-digital-element-1tb-black.html,Computers
"
                                TP-link Wireless USB Adapter 150Mbps (TL-WN725N)                            ",https://2b.com.eg/en/tp-link-150mbps-wireless-n-nano-usb-adapter-tl-wn725n.html,Computers
"
                                Dell Inspiron 3593 (Intel® Core™ I5-1035G - 8GB -1TB -  NVIDIA® GeForce® MX230 2 GB -15.6""HD  - Ubuntu) Black                             ",https://2b.com.eg/en/dell-inspiron-3593-intelr-coretm-i5-1035g-8gb-1tb-nvidiar-geforcer-mx230-2-gb-15-6-hd-ubuntu-black.html,Computers
